checkpoint_id,environment,selected,episode,seed,reward,length
cartpole_mse_lr0.0005_best,CartPole-v1,True,11,1010,500.0,500
cartpole_mse_lr0.0005_best,CartPole-v1,True,12,1011,223.0,223
cartpole_mse_lr0.0005_best,CartPole-v1,True,13,1012,221.0,221
cartpole_mse_lr0.0005_best,CartPole-v1,True,14,1013,309.0,309
cartpole_mse_lr0.0005_best,CartPole-v1,True,15,1014,269.0,269
cartpole_mse_lr0.0005_best,CartPole-v1,True,16,1015,314.0,314
cartpole_mse_lr0.0005_best,CartPole-v1,True,17,1016,219.0,219
cartpole_mse_lr0.0005_best,CartPole-v1,True,18,1017,233.0,233
cartpole_mse_lr0.0005_best,CartPole-v1,True,19,1018,271.0,271
cartpole_mse_lr0.0005_best,CartPole-v1,True,20,1019,229.0,229
cartpole_mse_lr0.0005_best,CartPole-v1,True,21,1020,213.0,213
cartpole_mse_lr0.0005_best,CartPole-v1,True,22,1021,338.0,338
cartpole_mse_lr0.0005_best,CartPole-v1,True,23,1022,250.0,250
cartpole_mse_lr0.0005_best,CartPole-v1,True,24,1023,252.0,252
cartpole_mse_lr0.0005_best,CartPole-v1,True,25,1024,220.0,220
cartpole_mse_lr0.0005_best,CartPole-v1,True,26,1025,239.0,239
cartpole_mse_lr0.0005_best,CartPole-v1,True,27,1026,196.0,196
cartpole_mse_lr0.0005_best,CartPole-v1,True,28,1027,264.0,264
cartpole_mse_lr0.0005_best,CartPole-v1,True,29,1028,354.0,354
cartpole_mse_lr0.0005_best,CartPole-v1,True,30,1029,237.0,237
cartpole_mse_lr0.0005_best,CartPole-v1,True,31,1030,302.0,302
cartpole_mse_lr0.0005_best,CartPole-v1,True,32,1031,500.0,500
cartpole_mse_lr0.0005_best,CartPole-v1,True,33,1032,268.0,268
cartpole_mse_lr0.0005_best,CartPole-v1,True,34,1033,236.0,236
cartpole_mse_lr0.0005_best,CartPole-v1,True,35,1034,302.0,302
cartpole_mse_lr0.0005_best,CartPole-v1,True,36,1035,295.0,295
cartpole_mse_lr0.0005_best,CartPole-v1,True,37,1036,336.0,336
cartpole_mse_lr0.0005_best,CartPole-v1,True,38,1037,302.0,302
cartpole_mse_lr0.0005_best,CartPole-v1,True,39,1038,251.0,251
cartpole_mse_lr0.0005_best,CartPole-v1,True,40,1039,411.0,411
cartpole_mse_lr0.0005_best,CartPole-v1,True,41,1040,500.0,500
cartpole_mse_lr0.0005_best,CartPole-v1,True,42,1041,272.0,272
cartpole_mse_lr0.0005_best,CartPole-v1,True,43,1042,239.0,239
cartpole_mse_lr0.0005_best,CartPole-v1,True,44,1043,209.0,209
cartpole_mse_lr0.0005_best,CartPole-v1,True,45,1044,191.0,191
cartpole_mse_lr0.0005_best,CartPole-v1,True,46,1045,372.0,372
cartpole_mse_lr0.0005_best,CartPole-v1,True,47,1046,243.0,243
cartpole_mse_lr0.0005_best,CartPole-v1,True,48,1047,297.0,297
cartpole_mse_lr0.0005_best,CartPole-v1,True,49,1048,309.0,309
cartpole_mse_lr0.0005_best,CartPole-v1,True,50,1049,463.0,463
